Pose					roll		pitch		yaw		translation_x	translation_y	translation_z
-----------------------------------------------------------------------------------------------------
Pose 61:	   0.55978	   0.02789	   0.25426	       -0.05903	       -0.04420	       -0.03181
Pose 62:	   0.55975	   0.02789	   0.25428	       -0.05910	       -0.04416	       -0.03187
Pose 63:	   0.55961	   0.02772	   0.25443	       -0.05942	       -0.04418	       -0.03174
Pose 64:	   0.55961	   0.02772	   0.25444	       -0.05942	       -0.04412	       -0.03182
Pose 65:	   0.56207	   0.02242	   0.25702	       -0.06046	       -0.04751	       -0.03075
Pose 66:	   0.56245	   0.01868	   0.25928	       -0.06040	       -0.04918	       -0.02827
Pose 67:	   0.56245	   0.01868	   0.25928	       -0.06040	       -0.04918	       -0.02827
Pose 68:	   0.56205	   0.01511	   0.26161	       -0.06046	       -0.04906	       -0.02596
Pose 69:	   0.56205	   0.01511	   0.26161	       -0.06046	       -0.04906	       -0.02596
Pose 70:	   0.56205	   0.01511	   0.26161	       -0.06046	       -0.04906	       -0.02596
Pose 71:	   0.56264	   0.00870	   0.26301	       -0.06338	       -0.04949	       -0.03145
Pose 72:	   0.56274	   0.00796	   0.26276	       -0.06231	       -0.05000	       -0.03026
Pose 73:	   0.56272	   0.00755	   0.26315	       -0.06208	       -0.05014	       -0.03021
Pose 74:	   0.56264	   0.00690	   0.26308	       -0.06214	       -0.05048	       -0.02924
Pose 75:	   0.56264	   0.00680	   0.26324	       -0.06205	       -0.05046	       -0.02933
Pose 76:	   0.56249	   0.00579	   0.26385	       -0.06199	       -0.05085	       -0.02845
Pose 77:	   0.56263	   0.00595	   0.26356	       -0.06176	       -0.05099	       -0.02814
Pose 78:	   0.56276	   0.00606	   0.26340	       -0.06166	       -0.05107	       -0.02801
Pose 79:	   0.56276	   0.00606	   0.26340	       -0.06180	       -0.04998	       -0.02809
Pose 80:	   0.56281	   0.00596	   0.26339	       -0.06162	       -0.05009	       -0.02785
Pose 81:	   0.56283	   0.00574	   0.26356	       -0.06147	       -0.05018	       -0.02751
Pose 82:	   0.56241	   0.00400	   0.26500	       -0.06159	       -0.05112	       -0.02605
Pose 83:	   0.56239	   0.00380	   0.26515	       -0.06150	       -0.05125	       -0.02568
Pose 84:	   0.56215	   0.00312	   0.26585	       -0.06157	       -0.05167	       -0.02511
Pose 85:	   0.56216	   0.00311	   0.26588	       -0.06155	       -0.05155	       -0.02512
Pose 86:	   0.56202	   0.00296	   0.26610	       -0.06180	       -0.05176	       -0.02452
Pose 87:	   0.56203	   0.00293	   0.26622	       -0.06186	       -0.05175	       -0.02445
Pose 88:	   0.56200	   0.00294	   0.26622	       -0.06179	       -0.05174	       -0.02443
Pose 89:	   0.56200	   0.00294	   0.26622	       -0.06179	       -0.05174	       -0.02443
Pose 90:	   0.56154	   0.00147	   0.26754	       -0.06263	       -0.05230	       -0.02351
Pose 91:	   0.56154	   0.00141	   0.26771	       -0.06261	       -0.05225	       -0.02357
Pose 92:	   0.56156	   0.00143	   0.26773	       -0.06261	       -0.05226	       -0.02357
Pose 93:	   0.56156	   0.00143	   0.26773	       -0.06261	       -0.05226	       -0.02357
Pose 94:	   0.56163	   0.00159	   0.26775	       -0.06299	       -0.05220	       -0.02340
Pose 95:	   0.56163	   0.00158	   0.26779	       -0.06309	       -0.05215	       -0.02322
Pose 96:	   0.56167	   0.00164	   0.26778	       -0.06316	       -0.05217	       -0.02319
Pose 97:	   0.56165	   0.00162	   0.26780	       -0.06317	       -0.05203	       -0.02318
Pose 98:	   0.56165	   0.00162	   0.26780	       -0.06317	       -0.05203	       -0.02318
Pose 99:	   0.56163	   0.00167	   0.26784	       -0.06330	       -0.05190	       -0.02309
Pose 100:	   0.56139	   0.00124	   0.26866	       -0.06456	       -0.05230	       -0.02211
Pose 101:	   0.56139	   0.00124	   0.26866	       -0.06456	       -0.05230	       -0.02211
Pose 102:	   0.56144	   0.00137	   0.26883	       -0.06524	       -0.05229	       -0.02163
Pose 103:	   0.56145	   0.00138	   0.26882	       -0.06546	       -0.05092	       -0.02174
Pose 104:	   0.56144	   0.00136	   0.26885	       -0.06547	       -0.05076	       -0.02176
Pose 105:	   0.56144	   0.00136	   0.26885	       -0.06547	       -0.05076	       -0.02176
Pose 106:	   0.56118	   0.00083	   0.26949	       -0.06680	       -0.05089	       -0.02074
Pose 107:	   0.56116	   0.00086	   0.26954	       -0.06716	       -0.05076	       -0.02058
